CAS,MolecularFormula,MolecularWeight,XLogP,ExactMass,TPSA
50-00-0,CH2O,30.026,1.2,30.010564683,17.1
60-34-4,CH6N2,46.072,-0.9,46.053098200,38.1
64-18-6,CH2O2,46.025,-0.2,46.005479302,37.3
67-56-1,CH4O,32.042,-0.5,32.026214747,20.2
71-43-2,C6H6,78.11,2.1,78.0469501914,0
74-87-3,CH3Cl,50.49,0.8,49.9923278,0
74-89-5,CH5N,31.057,-0.7,31.042199164,26
74-90-8,CHN,27.025,0.1,27.010899036,23.8
75-01-4,C2H3Cl,62.50,1.5,61.9923278,0
75-15-0,CS2,76.15,2.1,75.94414235,64.2
75-21-8,C2H4O,44.05,-0.1,44.026214747,12.5
75-44-5,CCl2O,98.91,1.8,97.9326200,17.1
75-50-3,C3H9N,59.11,0.3,59.073499291,3.2
75-56-9,C3H6O,58.08,0,58.041864811,12.5
78-93-3,C4H8O,72.11,0.3,72.057514874,17.1
78-94-4,C4H6O,70.09,0.5,70.041864811,17.1
79-10-7,C3H4O2,72.06,0.3,72.021129366,37.3
96-33-3,C4H6O2,86.09,0.8,86.036779430,26.3
98-95-3,C6H5NO2,123.11,1.9,123.032028402,45.8
99-99-0,C7H7NO2,137.14,2.4,137.047678466,45.8
100-44-7,C7H7Cl,126.58,2.3,126.0236279,0
107-02-8,C3H4O,56.06,0,56.026214747,17.1
107-05-1,C3H5Cl,76.52,1.5,76.0079779,0
107-13-1,C3H3N,53.06,0.2,53.026549100,23.8
107-15-3,C2H8N2,60.10,-2,60.068748264,52
107-18-6,C3H6O,58.08,0.2,58.041864811,20.2
108-39-4,C7H8O,108.14,2,108.057514874,20.2
108-88-3,C7H8,92.14,2.7,92.062600255,0
108-95-2,C6H6O,94.11,1.5,94.041864811,20.2
109-73-9,C4H11N,73.14,1,73.089149355,26
121-44-8,C6H15N,101.19,1.4,101.120449483,3.2
141-78-6,C4H8O2,88.11,0.7,88.052429494,26.3
143-33-9,CNNa,49.007,,48.99284329,23.8
151-56-4,C2H5N,43.07,-0.4,43.042199164,21.9
584-84-9,C9H6N2O2,174.16,3.9,174.042927438,58.9
630-08-0,CO,28.010,0.7,27.994914619,1
814-68-6,C3H3ClO,90.51,1.4,89.9872424,17.1
1314-84-7,P2Zn3,258.1,,255.73184,0
1338-23-4,C8H18O6,210.22,1.3,210.11033829,77.4
4098-71-9,C12H18N2O2,222.28,4.5,222.136827821,58.9
7440-23-5,Na,22.9897693,,22.98976928,0
7647-01-0,ClH,36.46,0.8,35.9766777,0
7664-39-3,FH,20.0064,0.6,20.006228194,0
7664-41-7,H3N,17.031,-0.7,17.026549100,1
7664-93-9,H2O4S,98.08,-1.4,97.96737971,83
7697-37-2,HNO3,63.013,0.2,62.995642894,66.1
7719-12-2,Cl3P,137.33,2.3,135.880320,0
7782-41-4,F2,37.99680632,1.1,37.99680632,0
7782-50-5,Cl2,70.90,1.6,69.9377054,0
7783-06-4,H2S,34.08,0.5,33.98772124,1
7784-42-1,AsH3,77.946,,77.945070,0
7790-94-5,ClHO3S,116.53,-0.1,115.9334928,62.8
7803-51-2,H3P,33.998,-0.1,33.997237093,0
10025-87-3,Cl3OP,153.33,1.7,151.875235,17.1
10049-04-4,ClO2,67.45,2.1,66.9586819,34.1
19287-45-7,B2H6,27.67,,28.0655605,0
10102-43-9,NO,30.006,0.2,29.997988624,18.1
75-52-5,CH3NO2,61.040,0.1,61.016378338,45.8
6484-52-2,H4N2O3,80.044,,80.02219199,63.9
100-97-0,C6H12N4,140.19,0.3,140.106196400,13
7722-84-1,H2O2,34.015,-0.9,34.005479302,40.5
3811-04-9,ClKO3,122.55,,121.9173030,57.2
7757-79-1,KNO3,101.103,,100.95152435,62.9
7778-74-7,ClKO4,138.55,,137.9122177,74.3
7722-64-7,KMnO4,158.034,,157.881408,74.3
7775-09-9,ClNaO3,106.44,,105.9433658,57.2
7631-99-4,NNaO3,84.995,,84.97758714,62.9
107-44-8,C4H10FO2P,140.09,0.8,140.04024472,26.3
506-77-4,CClN,61.47,1,60.9719267,23.8
13463-39-3,C4NiO4,170.73,,169.915000,4
7782-65-2,GeH4,76.66,,77.9524779,0
116-14-3,C2F4,100.01,1.3,99.99361265,0
7637-07-2,BF3,67.81,,68.0045147,0
10294-34-5,BCl3,117.2,,115.915863,0
685-63-2,C4F6,162.03,1.8,161.99041897,0
7726-95-6,Br2,159.81,1.9,159.83463,0
7783-07-5,H2Se,80.99,,81.93217,0
78-79-5,C5H8,68.12,2.5,68.062600255,0
75-35-4,C2H2Cl2,96.94,2.3,95.9533555,0
107-46-0,C6H18OSi2,162.38,,162.08961826,9.2
13463-40-6,C5FeO5,195.90,,195.909509,85.4
7789-30-2,BrF5,174.90,3.7,173.91035,0
7719-09-7,Cl2OS,118.97,1.5,117.9046912,36.3
7550-45-0,Cl4Ti,189.7,,189.820401,0
76-06-2,CCl3NO2,164.37,2.1,162.899461,45.8
109-92-2,C4H8O,72.11,1,72.057514874,9.2
7803-62-5,H4Si,32.117,,32.008226662,0
1590-87-0,Si2,56.17,,55.95385307,0
4109-96-0,Cl2H2Si,101.00,,99.9302820,0
10025-78-2,Cl3HSi,135.45,,133.891310,0
75-54-7,CH3Cl2Si,114.02,,112.9381070,0
75-79-6,CH3Cl3Si,149.47,,147.906960,0
75-94-5,C2H3Cl3Si,161.48,,159.906960,0
115-21-9,C2H5Cl3Si,163.50,,161.922610,0
75-76-3,C4H12Si,88.22,,88.070826917,0
7783-61-1,F4Si,104.079,,103.97053918,0
